 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @juliasrc/gc-stock.c   1168 gc_sweep_prescan
     1         1 @juliasrc/gc-stock.h    152 pop_lf_back_nosync
     1         0 @Dates/src/io.jl        680 format(dt::DateTime, fmt::DateFor…
     1         0 @Dates/src/io.jl        668 format(io::IOBuffer, dt::DateTime…
     1         0 @Dates/src/io.jl        673 macro expansion
     1         0 @Dates/src/io.jl         81 format
     1         0 @Dates/src/io.jl        184 format
     1         0 @Dates/src/accessors.jl   57 month
     1         0 @Dates/src/accessors.jl   22 month(days::Int64)
     1         0 @OracleD/src/VOJobFactory.jl  195 create_job!
     1         0 @OracleD/src/Jobs.jl     43 Job
     1         0 @OracleD/src/Jobs.jl     30 Job
     1         0 @OracleD/src/Cluster.jl  235 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/strings/search.jl  782 occursin
     1         1 @Base/strings/search.jl  297 _searchindex(s::Base.CodeUnits{UI…
     1         0 @juliasrc/gc-stock.c   1311 gc_free_pages
     1         1 @juliasrc/gc-stock.c    661 sweep_malloced_memory
     1         1 @juliasrc/gc-stock.c   2066 gc_mark_stack
     1         1 @Base/strings/substring.jl  240 _string(::String, ::Vararg{String…
     1         0 @juliasrc/gc-stock.c    953 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    830 gc_update_page_fragmentation_data
     1         0 @juliasrc/gc-stock.c    704 gc_add_page
     1         0 @juliasrc/gc-pages.c    111 jl_gc_alloc_page
     1         0 @Base/strings/io.jl      34 print(io::IOBuffer, x::Int64)
     1         1 /lib64/libc.so.6          ? __sigsetjmp
     1         0 @OracleD/src/Cluster.jl  201 update!(cluster::Main.OracleD.Clu…
     1         0 @OracleD/src/WorkerNode.jl  228 start_job!(worker_node::Main.Orac…
     1         0 @juliasrc/gc-stock.c    708 gc_add_page
     1         1 @juliasrc/gc-stock.h    161 push_lf_back
     1         0 @Base/array.jl         1129 _growend!
     1         0 @Base/strings/string.jl  120 unsafe_wrap
     1         1 @juliasrc/genericmemory.c  111 jl_string_to_genericmemory
     1         0 @OracleD/src/Cluster.jl  196 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/iobuffer.jl       831 unsafe_write(to::IOBuffer, p::Ptr…
     1         0 @Base/iobuffer.jl       862 _unsafe_write
     1         0 @Base/array.jl          268 unsafe_copyto!
     1         0 @Base/cmem.jl            28 memmove
     1         1 /lib64/libc.so.6          ? __memmove_avx512_unaligned_erms
     1         0 /lib64/libc.so.6          ? _int_free_merge_chunk
     1         0 /lib64/libc.so.6          ? _int_free_create_chunk
     1         0 @juliasrc/gc-stock.c   3433 ijl_gc_collect
     1         0 @juliasrc/safepoint.c   215 jl_safepoint_start_gc
     1         0 @juliasrc/safepoint.c    50 jl_safepoint_enable
     1         0 @juliasrc/safepoint.c    67 jl_safepoint_enable
     1         0 @juliasrc/datatype.c   1811 ijl_get_nth_field
     1         0 @juliasrc/gc-stock.c   2090 gc_mark_stack
     1         0 @OracleD/src/WorkerNode.jl  344 update!(worker_node::Main.OracleD…
     1         1 /lib64/libc.so.6          ? _int_free_maybe_trim
     1         0 @Base/array.jl         1123 _growend!
     1         0 @OracleD/src/WorkerNode.jl  351 update!(worker_node::Main.OracleD…
     1         1 @OracleD/src/DataLogger.jl   97 job_finish!(datalogger::Main.Orac…
     1         0 @OracleD/src/WorkerNode.jl  357 update!(worker_node::Main.OracleD…
     1         0 @OracleD/src/WorkerNode.jl  350 update!(worker_node::Main.OracleD…
     1         0 @OracleD/src/Jobs.jl     60 set_duration!
     1         0 @OracleD/src/Jobs.jl     49 _duration_period
     1         0 @Base/rounding.jl       477 round
     1         0 @Base/rounding.jl       479 round
     1         1 @Base/float.jl          469 round
     1         0 @OracleD/src/Cluster.jl  182 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/operators.jl      321 !=
     1         0 @Base/strings/string.jl  163 ==
     1         1 @juliasrc/builtins.c    276 ijl_egal__bitstag
     1         1 @juliasrc/builtins.c    244 ijl_egal__bitstag
     1         1 @juliasrc/gc-stock.c   2516 gc_mark_loop_serial_
     1         1 @juliasrc/gc-stock.c   2245 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c   2251 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c   1711 gc_mark_obj8
     1         1 @juliasrc/gc-stock.c   1833 gc_mark_objarray
     1         1 @juliasrc/gc-stock.c   1712 gc_mark_obj8
     1         1 @juliasrc/gc-stock.h    342 page_metadata
     1         1 @juliasrc/gc-stock.c   2455 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c    242 gc_try_setmark_tag
     1         1 @juliasrc/gc-stock.c   2244 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c    294 gc_setmark_pool_
     1         1 @juliasrc/gc-stock.c   2364 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c    250 gc_try_setmark_tag
     1         1 @juliasrc/gc-stock.c   2458 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   2491 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   1781 gc_mark_obj32
     1         1 @juliasrc/gc-stock.c   1585 gc_mark_push_remset
     1         1 @juliasrc/gc-stock.c    248 gc_try_setmark_tag
     1         1 @juliasrc/gc-stock.c   2363 gc_mark_outrefs
     1         0 @OracleD/src/Cluster.jl  291 update!(cluster::Main.OracleD.Clu…
     1         0 @OracleD/src/WorkerNode.jl  260 timestep_power_dissipated
     1         1 @juliasrc/staticdata.c 2333 gc_sweep_sysimg
     1         1 @juliasrc/gc-stock.c    915 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    916 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    922 gc_sweep_page
     1         0 @OracleD/src/Simulation.jl  136 Main.OracleD.Simulation(config::O…
     1         0 @OracleD/src/Simulation.jl  195 _write_simulation_parameters
     1         0 @Base/io.jl             409 open
     1         0 @Base/io.jl             410 open(::Main.OracleD.var"#_write_s…
     1         0 @julialib/julia/sys.so    ? jfptr_open_63059.1
     1         0 @Base/iostream.jl       379 open(fname::String, mode::String)
     1         0 @Base/iostream.jl       380 open(fname::String, mode::String;…
     1         0 @Base/iostream.jl       296 open
     1         0 @Base/iostream.jl       314 open(fname::String; lock::Bool, r…
     1         0 @juliasrc/support/ios.c  972 ios_file
     1         0 @juliasrc/support/ios.c  929 open_cloexec
     1         0 /lib64/libc.so.6          ? __open64
     1         1 @juliasrc/gc-stock.c    350 maybe_collect
     1         0 @juliasrc/gc-stock.c    807 jl_gc_alloc_
     1         1 @juliasrc/gc-alloc-profiler.h   42 maybe_record_alloc_to_profile
     1         0 @Base/strings/io.jl     146 print_to_string(::String, ::Int64)
     1         0 @Base/strings/io.jl     134 _str_sizehint
     1         0 @Base/intfuncs.jl       809 ndigits
     1         0 @Base/intfuncs.jl       809 #ndigits#402
     1         1 @Base/intfuncs.jl       766 ndigits0z(x::Int64, b::Int64)
     1         0 @juliasrc/gc-stock.c    794 jl_gc_alloc_
     1         1 @juliasrc/julia_internal.h  536 jl_gc_szclass
     1         1 @juliasrc/gc-stock.c    722 jl_gc_small_alloc_inner
     1         1 @juliasrc/gc-stock.c    775 ijl_gc_small_alloc
     1         1 @juliasrc/gc-stock.c    779 ijl_gc_small_alloc
